Ticker,Name,Sector,Industry,MarketCap,PreviousClose,Status
AALI,Astra Agro Lestari Tbk.,Consumer Defensive,Farm Products,15445624094720,8050.0,Success
ACST,Acset Indonusa Tbk.,Industrials,Engineering & Construction,1749840822272,99.0,Success
ACES,Aspirasi Hidup Indonesia Tbk.,Consumer Cyclical,Specialty Retail,6060618285056,368.0,Success
ABDA,Asuransi Bina Dana Arta Tbk.,Financial Services,Insurance - Property & Casualty,1601681227776,2350.0,Success
ABBA,Mahaka Media Tbk.,Communication Services,Publishing,169243394048,43.0,Success
AISA,FKS Food Sejahtera Tbk.,Consumer Defensive,Packaged Foods,471909302272,127.0,Success
ADHI,Adhi Karya (Persero) Tbk,Industrials,Engineering & Construction,1866489135104,182.0,Success
AKKU,Anugerah Kagum Karya Utama Tbk.,Consumer Cyclical,Lodging,245079621632,38.0,Success
ADES,Akasha Wira International Tbk.,Consumer Defensive,Beverages - Non-Alcoholic,11812683644928,20375.0,Success
AKPI,Argha Karya Prima Industry Tbk.,Consumer Cyclical,Packaging & Containers,339797639168,570.0,Success
ABMM,ABM Investama Tbk.,Energy,Thermal Coal,8039241875456,3010.0,Success
AMFG,Asahimas Flat Glass Tbk,Basic Materials,Building Materials,1371440021504,3290.0,Success
AKSI,Mineral Sumberdaya Mandiri Tbk.,Industrials,Trucking,239040004096,340.0,Success
AMAG,Asuransi Multi Artha Guna Tbk,Financial Services,Insurance - Property & Casualty,2097631723520,436.0,Success
ALTO,Tri Banyan Tirta Tbk.,Consumer Defensive,Beverages - Non-Alcoholic,39453667328,18.0,Success
AMIN,Ateliers Mecaniques D Indonesie,Industrials,Specialty Industrial Machinery,244080001024,236.0,Success
AKRA,AKR Corporindo Tbk,Energy,Oil & Gas Refining & Marketing,30788640833536,1550.0,Success
ALMI,Alumindo Light Metal Industry T,Basic Materials,Aluminum,282384007168,74.0,Success
ALKA,Alakasa Industrindo Tbk,Basic Materials,Aluminum,231537459200,630.0,Success
ALDO,Alkindo Naratama Tbk.,Basic Materials,Paper & Paper Products,1590734225408,590.0,Success
AMRT,Sumber Alfaria Trijaya Tbk,Consumer Defensive,Grocery Stores,54305675542528,1360.0,Success
APEX,Apexindo Pratama Duta Tbk.,Energy,Oil & Gas Drilling,709293309952,212.0,Success
ANJT,Austindo Nusantara Jaya Tbk.,Consumer Defensive,Farm Products,6087827783680,1815.0,Success
APII,Arita Prima Indonesia Tbk.,Industrials,Tools & Accessories,209773199360,194.0,Success
ANTM,Aneka Tambang Tbk.,Basic Materials,Gold,86991366520832,3880.0,Success
APLI,Asiaplast Industries Tbk,Consumer Cyclical,Packaging & Containers,313414418432,234.0,Success
ARII,Atlas Resources Tbk.,Energy,Thermal Coal,1065000042496,282.0,Success
APLN,Agung Podomoro Land Tbk.,Real Estate,Real Estate - Development,4948453490688,216.0,Success
APIC,Pacific Strategic Financial Tbk,Financial Services,Insurance - Life,23767954751488,1935.0,Success
ARGO,Argo Pantes Tbk,Consumer Cyclical,Textile Manufacturing,3571131351040,1125.0,Success
ARNA,Arwana Citramulia Tbk,Industrials,Building Products & Equipment,3444688814080,496.0,Success
ASBI,Asuransi Bintang Tbk,Financial Services,Insurance - Diversified,146322309120,422.0,Success
ARTA,Arthavest Tbk,Consumer Cyclical,Lodging,1156886167552,2720.0,Success
ARTI,Ratu Prabu Energi Tbk,Energy,Oil & Gas Equipment & Services,15680000000,2.0,Success
ARTO,Bank Jago Tbk.,Financial Services,Banks - Regional,18019730325504,1425.0,Success
ASII,Astra International Tbk,Industrials,Conglomerates,241282303655936,6050.0,Success
ASJT,Asuransi Jasa Tania Tbk,Financial Services,Insurance - Property & Casualty,263199997952,190.0,Success
ASGR,Astra Graphia Tbk,Industrials,Specialty Business Services,2205256253440,1680.0,Success
ASDM,Asuransi Dayin MitraTbk,Financial Services,Insurance - Diversified,234240000000,615.0,Success
ASMI,Asuransi Maximus Graha Persada ,Financial Services,Insurance - Property & Casualty,170209214464,19.0,Success
AUTO,Astra Otoparts Tbk,Consumer Cyclical,Auto Parts,12386713993216,2630.0,Success
ASRM,Asuransi Ramayana Tbk,Financial Services,Insurance - Property & Casualty,360393768960,292.0,Success
ATIC,Anabatic Technologies Tbk.,Technology,Information Technology Services,1227141414912,545.0,Success
ASRI,Alam Sutera Realty Tbk.,Real Estate,Real Estate - Development,2574072938496,138.0,Success
BABP,Bank MNC Internasional Tbk.,Financial Services,Banks - Regional,2267408760832,52.0,Success
BAJA,Saranacentral Bajatama Tbk.,Basic Materials,Steel,286200004608,173.0,Success
BALI,Bali Towerindo Sentra Tbk.,Communication Services,Telecom Services,4996932304896,1260.0,Success
ASSA,Adi Sarana Armada Tbk.,Industrials,Rental & Leasing Services,2934454353920,830.0,Success
BBHI,Allo Bank Indonesia Tbk.,Financial Services,Banks - Regional,27137543241728,1265.0,Success
BAYU,Bayu Buana Tbk,Consumer Cyclical,Travel Services,476848029696,1375.0,Success
BBCA,Bank Central Asia Tbk,Financial Services,Banks - Regional,719626199629824,5975.0,Success
BBKP,Bank KB Indonesia Tbk.,Financial Services,Banks - Regional,11461139103744,63.0,Success
BACA,Bank Capital Indonesia Tbk.,Financial Services,Banks - Regional,2693658312704,138.0,Success
BATA,Sepatu Bata Tbk,Consumer Cyclical,Footwear & Accessories,81900003328,64.0,Success
BBLD,Buana Finance Tbk,Financial Services,Credit Services,1094454411264,670.0,Success
BAPA,Bekasi Asri Pemula Tbk,Real Estate,Real Estate - Development,157504716800,238.0,Success
BBMD,Bank Mestika Dharma Tbk.,Financial Services,Banks - Regional,8017957879808,2000.0,Success
BBNI,Bank Negara Indonesia  (Persero,Financial Services,Banks - Regional,140085559296000,3800.0,Success
BBRM,Pelayaran Nasional Bina Buana R,Industrials,Marine Shipping,1238005579776,148.0,Success
BCIC,Bank JTrust Indonesia Tbk.,Financial Services,Banks - Regional,2299959967744,128.0,Success
BCIP,Bumi Citra Permai Tbk.,Real Estate,Real Estate - Development,95804342272,68.0,Success
BBTN,Bank Tabungan Negara (Persero) ,Financial Services,Banks - Regional,18876326739968,1410.0,Success
BBRI,Bank Rakyat Indonesia (Persero),Financial Services,Banks - Regional,454676982005760,3070.0,Success
BEST,Bekasi Fajar Industrial Estate ,Real Estate,Real Estate Services,1041909547008,110.0,Success
BBYB,Bank Neo Commerce Tbk.,Financial Services,Banks - Regional,4058546438144,316.0,Success
BDMN,Bank Danamon Indonesia Tbk.,Financial Services,Banks - Regional,40169302392832,4250.0,Success
BEKS,Bank Pembangunan Daerah Banten ,Financial Services,Banks - Regional,1400501829632,27.0,Success
BCAP,MNC Kapital Indonesia Tbk.,Financial Services,Financial Conglomerates,2216180318208,54.0,Success
BFIN,BFI Finance  Indonesia Tbk,Financial Services,Credit Services,11879506247680,830.0,Success
BHIT,MNC Asia Holding Tbk.,Communication Services,Entertainment,2756910514176,33.0,Success
BIKA,Binakarya Jaya Abadi Tbk.,Real Estate,Real Estate - Development,32575399936,55.0,Success
BGTG,Bank Ganesha Tbk.,Financial Services,Banks - Regional,2852548509696,122.0,Success
BIRD,Blue Bird Tbk.,Industrials,Railroads,3915786485760,1645.0,Success
BIPP,Bhuwanatala Indah Permai Tbk.,Real Estate,Real Estate - Diversified,437494251520,95.0,Success
BISI,BISI International Tbk,Basic Materials,Agricultural Inputs,2250000039936,770.0,Success
BJBR,Bank Pembangunan Daerah Jawa Ba,Financial Services,Banks - Regional,9153655341056,875.0,Success
BJTM,Bank Pembangunan Daerah Jawa Ti,Financial Services,Banks - Regional,8633911345152,580.0,Success
BIMA,Primarindo Asia Infrastructure ,Consumer Cyclical,Footwear & Accessories,49870409728,82.0,Success
BIPI,Astrindo Nusantara Infrastruktu,Industrials,Infrastructure Operations,15035605712896,252.0,Success
BINA,Bank Ina Perdana Tbk.,Financial Services,Banks - Regional,25152337215488,4240.0,Success
BKDP,Bukit Darmo Property Tbk,Real Estate,Real Estate Services,563549437952,74.0,Success
BLTZ,Graha Layar Prima Tbk.,Communication Services,Entertainment,2359630233600,2700.0,Success
BMRI,Bank Mandiri (Persero) Tbk,Financial Services,Banks - Regional,409733336924160,4430.0,Success
BKSW,Bank QNB Indonesia Tbk.,Financial Services,Banks - Regional,2074324893696,60.0,Success
BKSL,Sentul City Tbk.,Real Estate,Real Estate - Development,17441725874176,108.0,Success
BLTA,Berlian Laju Tanker Tbk,Industrials,Marine Shipping,1062275579904,41.0,Success
BMAS,Bank Maspion Indonesia Tbk.,Financial Services,Banks - Regional,9051331100672,500.0,Success
BMSR,Bintang Mitra Semestaraya Tbk,Basic Materials,Chemicals,382535991296,340.0,Success
BMTR,Global Mediacom Tbk,Communication Services,Entertainment,2730869391360,176.0,Success
BNBA,Bank Bumi Arta Tbk,Financial Services,Banks - Regional,2676520124416,820.0,Success
BNBR,Bakrie & Brothers Tbk,Industrials,Conglomerates,36070699827200,220.0,Success
BNGA,Bank CIMB Niaga Tbk.,Financial Services,Banks - Regional,42226566561792,1695.0,Success
BNII,Bank Maybank Indonesia Tbk.,Financial Services,Banks - Regional,15547900100608,202.0,Success
BPII,Batavia Prosperindo Internasion,Financial Services,Asset Management,4606015307776,470.0,Success
BPFI,Woori Finance Indonesia Tbk.,Financial Services,Credit Services,705934721024,274.0,Success
BRAM,Indo Kordsa Tbk,Consumer Cyclical,Textile Manufacturing,2065761566720,4650.0,Success
BNLI,Bank Permata Tbk,Financial Services,Banks - Regional,106011243315200,3100.0,Success
BRNA,Berlina Tbk,Consumer Cyclical,Packaging & Containers,660899233792,685.0,Success
BOLT,Garuda Metalindo Tbk.,Industrials,Tools & Accessories,2144531120128,900.0,Success
BRMS,Bumi Resources Minerals Tbk.,Basic Materials,Other Industrial Metals & Mining,112009391636480,820.0,Success
BRPT,Barito Pacific Tbk.,Basic Materials,Chemicals,172429615824896,1950.0,Success
BSDE,Bumi Serpong Damai Tbk,Real Estate,Real Estate - Development,15998747934720,825.0,Success
BSWD,Bank Of India Indonesia Tbk.,Financial Services,Banks - Regional,4979970015232,1350.0,Success
BSIM,Bank Sinarmas Tbk.,Financial Services,Banks - Regional,17054479417344,875.0,Success
BSSR,Baramulti Suksessarana Tbk.,Energy,Thermal Coal,10439834468352,4010.0,Success
BTEL,"BTEL.JK,0P0000BGUU,0",N/A,N/A,0,0,Success
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Defensive,Farm Products,601607438336,13.0,Success
BTON,Betonjaya Manunggal Tbk,Basic Materials,Steel,277919989760,368.0,Success
BUKK,Bukaka Teknik Utama Tbk.,Industrials,Engineering & Construction,3432587722752,1230.0,Success
BULL,Buana Lintas Lautan Tbk.,Industrials,Marine Shipping,7824690642944,535.0,Success
BTPN,Bank SMBC Indonesia Tbk.,Financial Services,Banks - Regional,21025741864960,1965.0,Success
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclical,Lodging,24986309885952,1075.0,Success
BUDI,Budi Starch & Sweetener Tbk.,Consumer Defensive,Packaged Foods,943168159744,210.0,Success
BWPT,Eagle High Plantations Tbk.,Consumer Defensive,Packaged Foods,4139274993664,135.0,Success
BUMI,Bumi Resources Tbk,Energy,Thermal Coal,82436461428736,230.0,Success
BVIC,Bank Victoria International Tbk,Financial Services,Banks - Regional,1878780805120,106.0,Success
CASS,Cahaya Aero Services Tbk.,Industrials,Airports & Air Services,3756510150656,1825.0,Success
BYAN,Bayan Resources Tbk,Energy,Thermal Coal,380833340850176,11500.0,Success
CFIN,Clipan Finance Indonesia Tbk,Financial Services,Credit Services,1330829852672,344.0,Success
CINT,Chitose Internasional Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",217999998976,218.0,Success
CENT,Centratama Telekomunikasi Indon,Communication Services,Telecom Services,3087162933248,103.0,Success
CANI,Capitol Nusantara Indonesia Tbk,Industrials,Marine Shipping,117515042816,156.0,Success
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Defensive,Packaged Foods,1398250012672,2350.0,Success
CITA,Cita Mineral Investindo Tbk,Basic Materials,Other Industrial Metals & Mining,14653336846336,4140.0,Success
CLPI,Colorpak Indonesia Tbk,Basic Materials,Specialty Chemicals,508027043840,1680.0,Success
CNTX,Century Textile Industry Tbk.,Consumer Cyclical,Textile Manufacturing,28400001024,142.0,Success
CMPP,AirAsia Indonesia Tbk.,Industrials,Airlines,854809968640,81.0,Success
CNKO,Exploitasi Energi Indonesia Tbk,Energy,Thermal Coal,501556183040,59.0,Success
CMNP,Citra Marga Nusaphala Persada T,Industrials,Infrastructure Operations,10312385298432,1565.0,Success
CPRO,Central Proteina Prima Tbk.,Consumer Defensive,Farm Products,3395625943040,59.0,Success
COWL,"COWL.JK,0P0000D53W,0",N/A,N/A,0,0,Success
CSAP,Catur Sentosa Adiprana Tbk.,Industrials,Industrial Distribution,1614021656576,288.0,Success
CTRA,Ciputra Development Tbk,Real Estate,Real Estate - Development,12882307710976,720.0,Success
DEWA,Darma Henwa Tbk,Energy,Thermal Coal,19285843902464,500.0,Success
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Defensive,Farm Products,65428021837824,4110.0,Success
